msize,bsize,average_time
1,1,192.4
1,2,192.73333333333332
1,4,210.66666666666666
1,8,306.4
1,16,963.4666666666667
2,1,409.3333333333333
2,2,434.46666666666664
2,4,519.3333333333334
2,8,1124.6
2,16,6292.333333333333
4,1,1769.6666666666667
4,2,1614.6
4,4,2257.133333333333
4,8,7343.066666666667
4,16,50821.666666666664
8,1,8536.133333333333
8,2,9323.0
8,4,15865.666666666666
8,8,63254.6
8,16,1854482.5333333334
