timestamp,total_messages,messages_per_millisecond,total_time_elapsed,bytes_received,bytes_per_millisecond
1740485563437,1000,0.09893154,10108,473000,46.79461812
1740485593441,3000,0.09999667,30001,1419000,47.29842339
1740485623438,3000,0.10000333,29999,1419000,47.30157672
1740485653437,3000,0.10000000,30000,1419000,47.30000000
1740485683437,3000,0.10000000,30000,1419000,47.30000000
1740485713437,3000,0.10000000,30000,1419000,47.30000000
1740485743440,3000,0.09999333,30002,1419000,47.29684688
