msize,bsize,average_time,std_dev
1,1,61.0,0
1,4,59.0,0
1,16,92.0,0
1,64,679.0,0
1,256,24521.0,0
2,1,81.0,0
2,4,76.0,0
2,16,164.0,0
2,64,2920.0,0
2,256,137534.0,0
4,1,212.0,0
4,4,234.0,0
4,16,753.0,0
4,64,18292.0,0
4,256,1260047.0,0
8,1,1889.0,0
8,4,1747.0,0
8,16,5387.0,0
8,64,193747.0,0
