msize,bsize,average_time,std_dev
1,1,89.0,0
1,4,67.0,0
1,16,94.0,0
1,64,587.0,0
1,256,28712.0,0
2,1,90.0,0
2,4,93.0,0
2,16,134.0,0
2,64,1686.0,0
2,256,70199.0,0
4,1,310.0,0
4,4,331.0,0
4,16,514.0,0
4,64,11189.0,0
4,256,705588.0,0
8,1,1619.0,0
8,4,1851.0,0
8,16,3463.0,0
8,64,120256.0,0
