,10,100,1000,10000
1,49300.27391666666,4929.972613333332,492.99999999999994,49.300000000000004
10,,4930.027391666667,492.99999999999994,49.300000000000004
100,,,493.0027383333333,49.300000000000004
1000,,,,49.29999999999999
